Age,Gender,Low_Sodium_Diet,Diet_Condition,Dining_Frequency,Low_Sodium_Satisfaction,Add_Salt_Condiments,Taste_Enhancement_Tech_Aware,Interest_In_Device,Importance_Of_Taste_Enhancement,Expected_Device_Features,Purchase_Consideration,Concerns_On_Technology,Salt_Usage_Dal_Gojju_Palya,Salt_Usage_Sambar_Rasam_Curd,Salt_Usage_Biryani_Pulao_Rice,Salt_Usage_Curry,Salt_Usage_Snacks,Salt_Usage_Roti_Paratha,Salt_Usage_Pickles_Papad,Salt_Opinion
58,Male,Yes,Other,Weekly,Yes,Always,Yes,Yes,Not Important,"Dietary tracking features, Adjustable intensity",Yes,,¼ tsp,¼ tsp,More than 1 tsp,More than 1 tsp,No Salt,More than 1 tsp,¼ tsp,Too Bland
59,Other,No,None,Weekly,No,Never,No,Yes,Very Important,"Dietary tracking features, Portable design",No,Safety,¼ tsp,½ tsp,No Salt,No Salt,1 tsp,No Salt,½ tsp,Too Salty
56,Female,Yes,None,Daily,No,Always,No,No,Not Important,"Portable design, Mobile app integration",Yes,,¼ tsp,½ tsp,No Salt,¼ tsp,No Salt,1 tsp,½ tsp,Too Salty
58,Female,Yes,Other,Monthly,Yes,Never,No,Yes,Not Important,"Portable design, Mobile app integration",Maybe,Safety,¼ tsp,1 tsp,1 tsp,½ tsp,More than 1 tsp,¼ tsp,½ tsp,Perfect
32,Male,No,None,Rarely,No,Always,Yes,No,Very Important,"Dietary tracking features, Portable design",Maybe,Price,¼ tsp,½ tsp,¼ tsp,¼ tsp,More than 1 tsp,More than 1 tsp,½ tsp,Too Bland
55,Female,No,None,Monthly,Yes,Always,No,Yes,Very Important,"Adjustable intensity, Dietary tracking features",Maybe,Safety,1 tsp,More than 1 tsp,No Salt,1 tsp,1 tsp,More than 1 tsp,1 tsp,Too Bland
34,Other,Yes,Hypertension,Monthly,Sometimes,Sometimes,Yes,No,Moderately Important,"Portable design, Dietary tracking features",Yes,Effectiveness,More than 1 tsp,¼ tsp,More than 1 tsp,No Salt,½ tsp,More than 1 tsp,More than 1 tsp,Perfect
27,Female,Yes,Hypertension,Monthly,No,Always,Yes,No,Moderately Important,"Portable design, Adjustable intensity",Yes,,No Salt,1 tsp,No Salt,More than 1 tsp,¼ tsp,¼ tsp,1 tsp,Too Bland
28,Female,No,None,Weekly,Sometimes,Never,Yes,No,Moderately Important,"Mobile app integration, Portable design",Maybe,Price,No Salt,¼ tsp,¼ tsp,No Salt,½ tsp,No Salt,More than 1 tsp,Too Bland
32,Other,Yes,Hypertension,Daily,Sometimes,Never,Yes,Yes,Very Important,"Adjustable intensity, Portable design",Yes,Safety,½ tsp,1 tsp,¼ tsp,More than 1 tsp,¼ tsp,More than 1 tsp,More than 1 tsp,Too Salty
33,Female,No,None,Weekly,Yes,Always,No,No,Moderately Important,"Dietary tracking features, Portable design",Maybe,,No Salt,No Salt,1 tsp,½ tsp,No Salt,¼ tsp,¼ tsp,Perfect
52,Female,Yes,None,Weekly,No,Sometimes,Yes,Yes,Moderately Important,"Adjustable intensity, Dietary tracking features",Maybe,,No Salt,¼ tsp,¼ tsp,1 tsp,1 tsp,1 tsp,¼ tsp,Too Salty
21,Male,No,None,Daily,No,Sometimes,No,No,Moderately Important,"Dietary tracking features, Adjustable intensity",Yes,Effectiveness,¼ tsp,No Salt,More than 1 tsp,More than 1 tsp,No Salt,½ tsp,No Salt,Perfect
55,Female,Yes,Hypertension,Daily,Yes,Always,Yes,Yes,Moderately Important,"Adjustable intensity, Mobile app integration",Yes,,More than 1 tsp,No Salt,1 tsp,More than 1 tsp,More than 1 tsp,More than 1 tsp,½ tsp,Too Salty
31,Other,No,None,Weekly,No,Sometimes,Yes,No,Moderately Important,"Mobile app integration, Adjustable intensity",Yes,Price,More than 1 tsp,More than 1 tsp,No Salt,No Salt,More than 1 tsp,¼ tsp,More than 1 tsp,Too Salty
26,Female,Yes,Kidney Disease,Monthly,No,Always,No,No,Not Important,"Adjustable intensity, Mobile app integration",Maybe,Effectiveness,No Salt,¼ tsp,½ tsp,No Salt,No Salt,More than 1 tsp,¼ tsp,Too Salty
36,Other,Yes,Other,Weekly,Sometimes,Never,No,No,Moderately Important,"Adjustable intensity, Dietary tracking features",Maybe,Price,½ tsp,No Salt,No Salt,½ tsp,¼ tsp,½ tsp,¼ tsp,Too Bland
